2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.35744  TP=1.35947  SL=1.35621 | Lot=0.94  Margin=$255.17
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] SELL | Entry=1.06069  TP=1.05910  SL=1.06165 | Lot=1.2  Margin=$254.59
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] SELL | Entry=1.20618  TP=1.20437  SL=1.20727 | Lot=1.06  Margin=$255.74
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] SELL | Entry=1.05737  TP=1.05579  SL=1.05833 | Lot=1.25  Margin=$264.37
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] SELL | Entry=1.20188  TP=1.20008  SL=1.20296 | Lot=1.1  Margin=$264.44
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.35924  TP=1.36127  SL=1.35801 | Lot=0.97  Margin=$263.67
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.67589  TP=0.67488  SL=0.67650 | Lot=1.95  Margin=$263.62
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] SELL | Entry=1.06649  TP=1.06489  SL=1.06745 | Lot=1.23  Margin=$262.38
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.67288  TP=0.67187  SL=0.67349 | Lot=2.02  Margin=$271.87
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.35970  TP=1.36174  SL=1.35847 | Lot=1.0  Margin=$271.91
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] SELL | Entry=1.19405  TP=1.19226  SL=1.19513 | Lot=1.14  Margin=$272.27
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] SELL | Entry=1.05955  TP=1.05796  SL=1.06051 | Lot=1.28  Margin=$271.27
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=135.84458  TP=136.04833  SL=135.72234 | Lot=0.01  Margin=$271.66
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.35924  TP=1.36127  SL=1.35801 | Lot=0.97  Margin=$263.67
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.67667  TP=0.67566  SL=0.67728 | Lot=1.95  Margin=$263.93
