2026-03-20 16:57:41 | INFO     | data_fetcher |   Fetching FX_DAILY EUR/USD  [full] ...
2026-03-20 16:57:55 | DEBUG    | data_fetcher | Cache SAVE — data/cache\500bc174a8b7d2943ca71ebfafb8f08f.pkl
2026-03-20 16:57:55 | INFO     | data_fetcher |   EURUSD: 522 bars  [2023-01-02 → 2024-12-31]
2026-03-20 16:57:55 | INFO     | data_fetcher |   Fetching FX_DAILY GBP/USD  [full] ...
2026-03-20 16:58:10 | DEBUG    | data_fetcher | Cache SAVE — data/cache\fd71ece28846fdeff5038c79841b38fc.pkl
2026-03-20 16:58:10 | INFO     | data_fetcher |   GBPUSD: 522 bars  [2023-01-02 → 2024-12-31]
2026-03-20 16:58:10 | INFO     | data_fetcher |   Fetching FX_DAILY USD/JPY  [full] ...
2026-03-20 16:58:25 | DEBUG    | data_fetcher | Cache SAVE — data/cache\cab75d83b8e03a7c1f6e51513f4e304d.pkl
2026-03-20 16:58:25 | INFO     | data_fetcher |   USDJPY: 522 bars  [2023-01-02 → 2024-12-31]
2026-03-20 16:58:25 | INFO     | data_fetcher |   Fetching FX_DAILY AUD/USD  [full] ...
2026-03-20 16:58:40 | DEBUG    | data_fetcher | Cache SAVE — data/cache\2627e3800a01a055b85fd8b85fdc89fd.pkl
2026-03-20 16:58:40 | INFO     | data_fetcher |   AUDUSD: 522 bars  [2023-01-02 → 2024-12-31]
2026-03-20 16:58:40 | INFO     | data_fetcher |   Fetching FX_DAILY USD/CAD  [full] ...
2026-03-20 16:58:55 | DEBUG    | data_fetcher | Cache SAVE — data/cache\17a6376ee9333b0c6b8d906f71eb615d.pkl
2026-03-20 16:58:55 | INFO     | data_fetcher |   USDCAD: 522 bars  [2023-01-02 → 2024-12-31]
2026-03-20 17:02:22 | INFO     | data_fetcher |   Fetching FX_DAILY EUR/USD  [compact] ...
2026-03-20 17:02:35 | DEBUG    | data_fetcher | Cache SAVE — data/cache\1ecb8e506809a2559995cd2c63f8957a.pkl
2026-03-20 17:02:35 | INFO     | data_fetcher |   EURUSD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:02:36 | INFO     | data_fetcher |   Fetching FX_DAILY GBP/USD  [compact] ...
